Position,Pan_wt,Dry_wt,phi_n225,phi_n1,phi_n05,phi_00,phi_05,phi_10,phi_15,phi_20,phi_25,phi_30,phi_35,phi_40,dryfines
0,,,0.06,0.96,1.42,2.06,2.58,3.57,2.7,3.1,3.21,3.99,2.27,0.78,0.43
1,,,9.69,2.32,1.15,1.52,2.08,2.69,2.63,2.58,2.65,5,4.16,0.66,0.08
2,,,8.93,1.94,1.16,1.01,0.96,0.99,0.78,1.23,2.17,3.44,1.47,0.54,0.24
3,,,0,1.08,1.75,2.52,2.7,2.97,2.56,3.44,3.46,3.37,1.5,1.02,0.56
4,,,2.71,2.65,2.68,3.91,3.24,3,2.65,2.96,3.67,3.3,0.6,0.32,0.12
5,,,0.46,4.41,3.63,5.79,5.33,3.56,2.39,2.53,3.12,2.96,0.63,0.38,0.27
6,,,0.59,4.43,4.17,4.52,3.61,3.08,1.7,1.8,2.22,2.05,0.5,0.19,0.01
7,,,1.61,4.82,3.1,2.78,2.91,3.38,3.22,4.61,4.69,3.47,0.78,0.33,0.3
8,,,0.69,1.71,1.46,1.63,1.64,2.26,2.28,2.91,4.64,5.32,1.96,0.53,0.08
9,,,0.3,3.22,2.46,2.29,1.86,2.03,1.51,2.33,4.27,5.37,1.86,0.71,0.04
10,,,1.84,5.51,3.49,3.79,3.46,3.4,2.77,2.38,1.93,1.48,0.5,0.33,0.3
11,,,5.94,6.96,3.4,2.69,2.33,2.41,1.74,2.15,1.83,1.6,0.62,0.41,0.28
