'ID','FWLogMean','FWLogSorting','FWLogSkew','FWLogKurt','FWGeoMean','FWGeoSorting','FWGeoSkew','FWGeoKurt'
0,1.46,1.39,-0.09,0.83,0.36,2.62,-0.09,0.83
1,-0.18,3.28,-0.46,0.8,1.13,9.7,-0.46,0.8
2,-1.0,3.64,-0.28,0.68,2.0,12.51,-0.28,0.68
3,1.36,1.44,-0.09,0.84,0.39,2.72,-0.09,0.84
4,0.63,1.75,-0.09,0.92,0.65,3.35,-0.09,0.92
5,0.57,1.52,0.16,0.91,0.68,2.86,0.16,0.91
6,0.36,1.53,0.18,0.94,0.78,2.89,0.18,0.94
7,0.72,1.67,-0.19,0.79,0.61,3.19,-0.19,0.79
8,1.43,1.56,-0.39,0.94,0.37,2.96,-0.39,0.94
9,1.21,1.68,-0.33,0.74,0.43,3.21,-0.33,0.74
10,0.17,1.65,0.04,0.93,0.89,3.13,0.04,0.93
11,-0.34,1.97,0.14,0.8,1.26,3.92,0.14,0.8
