"Transect","Sample","Pan Weight","Wet Sample Weight","-1.0phi","-0.5phi", "0phi", "0.5phi", "1.0phi", "1.25phi", "1.5phi", "1.75phi", "2.0phi", "2.5phi", "3.0phi", "3.5phi", "remainder"
"T1","S1",6.06,94.19,
"T1","S2",6.03,64.10,
"T1","S3",5.99,68.50,
"T1","S4",6.06,92.84,
"T2","S1",5.85,87.62,37.89,23.31,12.74,4.40,2.25,0.52,0.99,0.37,0.93,0.57,0.42,0.10,0.04
"T2","S2",5.82,75.79,3.19,8.46,16.50,17.00,14.61,3.58,2.64,0.98,0.64,0.29,0.15,0.07,0.03
"T2","S3",5.89,63.68,1.47,1.88,2.16,2.99,13.51,8.53,9.98,5.63,5.32,1.58,0.03,0.01,0.01
"T2","S4",5.85,107.65,0.70,0.46,1.40,3.73,10.85,9.07,17.28,17.54,23.67,11.05,3.72,0.92,0.07
"T3","S1",5.63,81.90,9.31,19.59,10.43,3.82,1.71,0.29,0.41,0.28,0.27,0.09,0.01,0.01,0.01
"T3","S2",5.67,76.18,1.53,3.33,9.09,13.99,18.34,6.83,6.58,4.19,3.85,0.90,0.09,0.01,0.01
"T3","S3",5.58,56.62,0.44,0.91,1.24,2.83,7.48,5.15,8.55,7.97,10.84,4.00,0.33,0.06,0.9
"T3","S4",5.75,93.83,0.71,0.67,2.71,8.24,24.98,16.14,16.37,9.54,6.09,1.23,0.30,0.09,0.05
"T4","S1",5.90,61.93,16.14,10.69,7.95,5.77,8.14,2.95,2.29,0.95,0.70,0.19,0.04,0.01,0.01
"T4","S2",5.82,77.16,0.85,3.19,7.11,14.58,22.13,7.28,6.34,3.24,3.06,0.76,0.01,0.01,0.01
"T4","S3",5.81,62.06,0.15,0.57,2.32,6.24,16.40,7.36,7.45,5.46,6.65,3.01,0.22,0.01,0.01
"T4","S4",5.75,104.27,3.59,5.05,6.30,8.67,17.10,11.24,16.61,12.63,12.34,3.87,0.61,0.12,0.09
"T5","S1",5.72,91.84,13.89,20.11,12.84,3.10,1.09,0.34,0.43,0.35,0.52,0.21,0.02,0.01,0.01
"T5","S2",5.84,85.54,1.22,5.15,12.93,19.22,19.26,5.82,5.40,3.02,3.57,1.39,0.08,0.01,0.01
"T5","S3",5.80,66.14,0.87,0.90,3.26,6.50,16.24,8.90,8.54,5.72,5.89,2.69,0.30,0.07,0.01
"T5","S4",5.88,85.20,2.15,5.55,7.81,8.98,17.13,8.78,10.79,7.50,7.13,1.94,0.46,0.14,0.02
"T6","S1",5.74,58.99,18.59,22.45,10.70,1.00,0.23,0.06,0.08,0.02,0.01,0.01,0.00,0.00,0.00
"T6","S2",5.84,74.84,4.50,10.22,16.75,13.65,9.24,3.31,4.14,2.86,3.27,1.13,0.08,0.05,0.01
"T6","S3",5.83,59.73,0.88,0.98,2.89,6.02,15.22,8.35,9.00,5.36,4.01,0.62,0.05,0.01,0.01
"T6","S4",5.83,102.87,0.67,0.89,1.78,3.11,11.03,9.65,15.51,15.88,20.60,10.43,4.49,0.97,0.02
"T7","S1",6.07,62.91,
"T7","S2",6.15,65.24,
"T7","S3",6.10,72.80,
"T7","S4",6.14,66.10,
"T8","S1",5.82,74.40,22.84,19.40,15.81,7.09,2.49,0.26,0.54,0.21,0.61,0.07,0.005,0.005
"T8","S2",5.88,77.27,0.65,2.29,9.60,19.07,23.61,6.20,5.84,2.24,2.37,0.51,0.27,0.16,0.00
"T8","S3",5.76,52.28,0.00,0.53,2.07,6.25,15.24,7.83,7.91,4.73,3.64,0.95,0.09,0.001,0.005
"T8","S4",5.73,112.23,2.31,6.68,10.90,14.00,22.78,12.15,15.13,11.61,10.24,2.73,0.30,0.07,0.02
"T9","S1",5.66,76.24,6.40,5.52,10.65,14.47,17.85,6.33,4.84,1.93,1.47,0.31,0.02,0.05,0.00
"T9","S2",5.67,42.14,6.26,7.75,9.20,5.25,3.47,1.24,1.15,0.86,0.91,0.42,0.07,0.02,0.05
"T9","S3",5.70,70.13,0.11,0.08,0.40,2.35,13.94,10.27,12.34,7.73,4.47,2.18,0.06,0.01,0.01
"T9","S4",5.71,92.08,0.27,0.76,3.33,9.22,25.27,13.85,14.26,8.49,7.20,1.83,0.62,0.20,0.01
"T10","S1",6.10,77.44,
"T10","S2",5.97,73.27,
"T10","S3",5.93,70.18,
"T10","S4",6.01,102.89,
"T11","S1",5.84,87.94,16.05,23.42,20.10,6.31,3.80,1.82,2.81,2.27,3.46,1.84,0.17,0.05,0.02
"T11","S2",5.72,73.27,8.79,10.67,11.03,9.79,6.77,2.72,4.15,3.89,5.92,3.09,0.59,0.18,0.04
"T11","S3",5.82,78.04,0.06,0.39,0.90,2.38,6.60,6.20,11.73,13.62,19.57,9.59,0.82,0.15,0.005
"T11","S4",5.65,110.10,0.28,7.73,22.61,24.47,28.76,7.92,6.09,2.52,1.67,0.37,0.08,0.005,0.00
"T12","S1",5.63,89.09,4.33,5.49,8.91,11.72,17.77,8.29,8.75,6.52,6.89,2.88,0.18,0.005,0.00
"T12","S2",5.67,65.57,0.50,0.61,1.32,3.15,9.38,6.67,9.94,8.93,11.22,6.55,0.80,0.15,0.00
"T12","S3",5.83,59.00,0.74,2.66,4.97,6.72,8.71,4.02,5.38,5.12,8.21,6.04,0.56,0.05,0.02
"T12","S4",5.72,79.26,0.20,0.39,2.03,7.55,23.30,13.33,12.23,7.88,5.43,1.19,0.15,0.02,0.00
"T13","S1",5.71,86.04,7.82,20.30,30.95,9.72,1.67,0.47,0.75,0.60,1.09,0.51,0.07,0.005,0.00
"T13","S2",5.79,88.91,13.80,12.78,10.92,9.06,7.29,3.38,5.69,4.98,7.54,5.92,0.49,0.005,0.00
"T13","S3",5.74,72.83,0.11,0.59,3.11,10.13,19.26,6.45,6.73,5.20,7.08,3.91,0.27,0.005,0.005
"T13","S4",5.82,95.77,0.31,1.22,2.83,4.65,11.79,7.87,11.51,12.04,16.18,8.14,3.69,1.30,0.02
"T14","S1",5.84,68.47,11.76,24.95,22.01,3.54,0.23,0.04,0.06,0.11,0.09,0.06,0.005,0.005,0.00
"T14","S2",5.71,82.43,12.94,16.56,12.40,9.17,6.66,2.08,2.66,2.74,5.67,5.14,0.52,0.01,0.01
"T14","S3",5.68,66.09,3.27,5.37,7.88,8.34,11.25,3.92,4.28,3.67,5.42,3.06,0.20,0.005,0.00
"T14","S4",5.73,94.75,0.07,0.09,0.25,0.82,3.73,5.64,13.90,18.10,26.04,14.91,3.17,0.58,0.05
"T15","S1",5.67,74.45,35.67,14.86,11.83,4.91,0.94,0.17,0.22,0.26,0.43,0.12,0.05,0.01,0.03
"T15","S2",5.83,80.54,9.43,7.33,9.12,12.69,11.93,3.96,4.20,3.09,3.70,1.52,0.27,0.02,0.005
"T15","S3",5.76,78.93,11.76,7.89,7.84,8.02,10.73,4.55,5.29,4.39,5.56,2.67,0.21,0.005,0.005
"T15","S4",5.70,77.63,0.52,0.36,0.71,1.57,7.94,8.00,12.77,11.69,14.99,9.27,2.15,0.43,0.005
"T16","S1",5.79,70.63,22.74,17.14,10.99,4.41,2.81,1.37,1.80,1.17,1.34,0.56,0.04,0.005,0.00
"T16","S2",5.68,73.54,1.16,1.77,2.87,5.02,12.09,8.16,10.92,8.29,8.68,3.19,0.79,0.18,0.01
"T16","S3",5.79,60.25,1.72,2.30,4.74,7.67,11.10,5.34,6.39,4.61,4.81,1.68,0.21,0.01,0.00
"T16","S4",5.74,75.97,0.56,0.62,1.48,2.99,10.81,8.93,12.80,11.45,12.73,5.89,1.07,0.25,0.005
